Unnamed: 0,precision,recall,f1-score,support,scenario
0,0.9960365635935156,0.9995103074313834,0.997770412056467,83726.0,baseline
1,0.0,0.0,0.0,74.0,baseline
2,0.9997970367363508,0.9987834549878344,0.9992899888426818,4932.0,baseline
3,0.9972222222222222,0.899749373433584,0.9459815546772068,399.0,baseline
4,0.999536536381894,0.985679463741621,0.9925596379535168,6564.0,baseline
5,0.967032967032967,0.9025641025641026,0.93368700265252,195.0,baseline
6,0.9949748743718592,0.9209302325581395,0.9565217391304348,215.0,baseline
7,1.0,1.0,1.0,262.0,baseline
8,0.0,0.0,0.0,1.0,baseline
9,0.9904871720957048,0.9976771196283392,0.9940691450889628,3444.0,baseline
10,1.0,0.9152542372881356,0.9557522123893806,118.0,baseline
11,0.0,0.0,0.0,49.0,baseline
12,1.0,0.0952380952380952,0.1739130434782608,21.0,baseline
accuracy,0.99622,0.99622,0.99622,0.99622,baseline
macro avg,0.7650067209565011,0.6704143374516334,0.6884265181745717,100000.0,baseline
weighted avg,0.994987346473508,0.99622,0.995501580587466,100000.0,baseline
,0.9966640190627483,0.9989650505532999,0.9978132082223371,12561.0,bias_gender_female_bias
,0.6,0.25,0.35294117647058826,12.0,bias_gender_female_bias
,1.0,0.9973297730307076,0.9986631016042781,749.0,bias_gender_female_bias
,0.9821428571428571,0.9482758620689655,0.9649122807017544,58.0,bias_gender_female_bias
,0.9947368421052631,0.9884937238493724,0.9916054564533053,956.0,bias_gender_female_bias
,0.9354838709677419,0.90625,0.9206349206349206,32.0,bias_gender_female_bias
,1.0,0.9705882352941176,0.9850746268656716,34.0,bias_gender_female_bias
,1.0,1.0,1.0,43.0,bias_gender_female_bias
,0.0,0.0,0.0,1.0,bias_gender_female_bias
,0.9922779922779923,0.9865642994241842,0.9894128970163619,521.0,bias_gender_female_bias
,1.0,0.9565217391304348,0.9777777777777777,23.0,bias_gender_female_bias
,0.5,0.4,0.4444444444444444,5.0,bias_gender_female_bias
,0.0,0.0,0.0,5.0,bias_gender_female_bias
,0.7693311985812771,0.7233068217962372,0.7402522992454953,15000.0,bias_gender_female_bias
,0.9955094512041268,0.9960666666666667,0.995723565305365,15000.0,bias_gender_female_bias
,0.9978583326723249,0.9990470139771284,0.9984523195364895,12592.0,bias_gender_male_bias
,1.0,0.45454545454545453,0.625,11.0,bias_gender_male_bias
,1.0,0.9985855728429985,0.9992922859164898,707.0,bias_gender_male_bias
,0.9824561403508771,0.9824561403508771,0.9824561403508771,57.0,bias_gender_male_bias
,0.9979402677651905,0.9887755102040816,0.9933367503844183,980.0,bias_gender_male_bias
,0.9166666666666666,1.0,0.9565217391304348,33.0,bias_gender_male_bias
,0.9705882352941176,0.9166666666666666,0.9428571428571428,36.0,bias_gender_male_bias
,1.0,1.0,1.0,40.0,bias_gender_male_bias
,0.9884836852207294,0.9922928709055877,0.9903846153846154,519.0,bias_gender_male_bias
,1.0,0.8823529411764706,0.9375,17.0,bias_gender_male_bias
,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0,bias_gender_male_bias
,0.0,0.0,0.0,2.0,bias_gender_male_bias
,0.8806899201879683,0.8373379586668833,0.849585980232603,15000.0,bias_gender_male_bias
,0.9971009007203775,0.9971333333333333,0.9970284562438217,15000.0,bias_gender_male_bias
,0.9980932708349884,0.9989265693953008,0.9985097462594631,25153.0,bias_label_imbalance_class0
,0.7333333333333333,0.4782608695652174,0.5789473684210527,23.0,bias_label_imbalance_class0
,0.9993122420907841,0.9979395604395604,0.9986254295532646,1456.0,bias_label_imbalance_class0
,0.9823008849557522,0.9652173913043478,0.9736842105263158,115.0,bias_label_imbalance_class0
,0.9974039460020768,0.9922520661157025,0.9948213360952874,1936.0,bias_label_imbalance_class0
,0.9130434782608695,0.9692307692307692,0.9402985074626866,65.0,bias_label_imbalance_class0
,0.9855072463768116,0.9714285714285714,0.9784172661870504,70.0,bias_label_imbalance_class0
,1.0,1.0,1.0,83.0,bias_label_imbalance_class0
,0.0,0.0,0.0,1.0,bias_label_imbalance_class0
,0.9904122722914669,0.9932692307692308,0.9918386941910706,1040.0,bias_label_imbalance_class0
,1.0,0.9,0.9473684210526315,40.0,bias_label_imbalance_class0
,0.6,0.8181818181818182,0.6923076923076923,11.0,bias_label_imbalance_class0
,0.3333333333333333,0.14285714285714285,0.2,7.0,bias_label_imbalance_class0
,0.810210769806109,0.7867356914836663,0.791909128619732,30000.0,bias_label_imbalance_class0
,0.9970379801181012,0.9971666666666666,0.9970602942830963,30000.0,bias_label_imbalance_class0
,0.9978885303374367,0.9958255476483918,0.9968559716639471,25153.0,bias_label_noise_5pct
,0.3333333333333333,0.43478260869565216,0.37735849056603776,23.0,bias_label_noise_5pct
,0.9843962008141113,0.9965659340659341,0.990443686006826,1456.0,bias_label_noise_5pct
,0.9152542372881356,0.9391304347826087,0.927038626609442,115.0,bias_label_noise_5pct
,0.9937727036844837,0.9891528925619835,0.9914574165156614,1936.0,bias_label_noise_5pct
,0.8289473684210527,0.9692307692307692,0.8936170212765957,65.0,bias_label_noise_5pct
,0.7471264367816092,0.9285714285714286,0.8280254777070064,70.0,bias_label_noise_5pct
,0.9325842696629213,1.0,0.9651162790697675,83.0,bias_label_noise_5pct
,0.0,0.0,0.0,1.0,bias_label_noise_5pct
,0.9791044776119403,0.9461538461538461,0.9623471882640586,1040.0,bias_label_noise_5pct
,0.7872340425531915,0.925,0.8505747126436781,40.0,bias_label_noise_5pct
,0.2413793103448276,0.6363636363636364,0.35,11.0,bias_label_noise_5pct
