Unnamed: 0,precision,recall,f1-score,support,scenario
,0.985663082437276,0.9963768115942029,0.990990990990991,276.0,bias_region_asia_bias
,1.0,0.8333333333333334,0.9090909090909091,6.0,bias_region_asia_bias
,0.6,0.75,0.6666666666666666,4.0,bias_region_asia_bias
,0.0,0.0,0.0,2.0,bias_region_asia_bias
,0.8682074635218046,0.7991586689236646,0.8133651984730195,7500.0,bias_region_asia_bias
,0.99593811383185,0.996,0.9958244196529262,7500.0,bias_region_asia_bias
,0.9976186696301,0.9988872993164839,0.9982525814138205,6291.0,bias_region_eu_bias
,1.0,0.42857142857142855,0.6,7.0,bias_region_eu_bias
,0.9973333333333333,1.0,0.9986648865153538,374.0,bias_region_eu_bias
,1.0,1.0,1.0,25.0,bias_region_eu_bias
,0.9958847736625515,0.9897750511247444,0.9928205128205129,489.0,bias_region_eu_bias
,0.9473684210526315,1.0,0.972972972972973,18.0,bias_region_eu_bias
,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0,bias_region_eu_bias
,1.0,1.0,1.0,21.0,bias_region_eu_bias
,0.9918032786885246,0.9958847736625515,0.9938398357289527,243.0,bias_region_eu_bias
,1.0,0.9090909090909091,0.9523809523809523,11.0,bias_region_eu_bias
,0.0,0.0,0.0,2.0,bias_region_eu_bias
,0.8976775382555986,0.8379042094428527,0.8570773327955894,7500.0,bias_region_eu_bias
,0.9968019525833756,0.9970666666666667,0.9968198842042155,7500.0,bias_region_eu_bias
,0.997499603111605,0.9992048662187413,0.9983515064847366,25153.0,bias_underrepresented_class1
,1.0,0.2608695652173913,0.41379310344827586,23.0,bias_underrepresented_class1
,0.9993122420907841,0.9979395604395604,0.9986254295532646,1456.0,bias_underrepresented_class1
,0.9821428571428571,0.9565217391304348,0.9691629955947136,115.0,bias_underrepresented_class1
,0.9989572471324296,0.9896694214876033,0.99429164504411,1936.0,bias_underrepresented_class1
,0.9393939393939394,0.9538461538461539,0.9465648854961832,65.0,bias_underrepresented_class1
,0.9571428571428572,0.9571428571428572,0.9571428571428572,70.0,bias_underrepresented_class1
,1.0,1.0,1.0,83.0,bias_underrepresented_class1
,0.0,0.0,0.0,1.0,bias_underrepresented_class1
,0.9913378248315688,0.9903846153846154,0.9908609908609909,1040.0,bias_underrepresented_class1
,1.0,0.95,0.9743589743589743,40.0,bias_underrepresented_class1
,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0,bias_underrepresented_class1
,0.2,0.14285714285714285,0.16666666666666666,7.0,bias_underrepresented_class1
,0.8157113930236599,0.7565230429298566,0.7687040298449314,30000.0,bias_underrepresented_class1
,0.9968136273792904,0.9968666666666667,0.9966677839692871,30000.0,bias_underrepresented_class1
